wavelength_nm,irradiance
762.97,4.87514000E+14
762.98,4.87518000E+14
762.99,4.87523000E+14
763.00,4.87525000E+14
763.01,4.87522000E+14
763.02,4.87509000E+14
763.03,4.87491000E+14
763.04,4.87473000E+14
763.05,4.87452000E+14
763.06,4.87398000E+14
763.07,4.87223000E+14
763.08,4.86789000E+14
763.09,4.86006000E+14
763.10,4.85008000E+14
763.11,4.84206000E+14
763.12,4.83998000E+14
763.13,4.84346000E+14
763.14,4.84747000E+14
763.15,4.84682000E+14
763.16,4.84007000E+14
763.17,4.82919000E+14
763.18,4.81786000E+14
763.19,4.81082000E+14
763.20,4.81258000E+14
763.21,4.82383000E+14
763.22,4.84012000E+14
763.23,4.85519000E+14
763.24,4.86541000E+14
763.25,4.87073000E+14
763.26,4.87290000E+14
763.27,4.87359000E+14
763.28,4.87373000E+14
763.29,4.87366000E+14
763.30,4.87350000E+14
763.31,4.87333000E+14
763.32,4.87322000E+14
763.33,4.87319000E+14
763.34,4.87322000E+14
763.35,4.87327000E+14
763.36,4.87331000E+14
763.37,4.87331000E+14
763.38,4.87323000E+14
763.39,4.87308000E+14
763.40,4.87290000E+14
763.41,4.87278000E+14
763.42,4.87273000E+14
763.43,4.87274000E+14
763.44,4.87278000E+14
763.45,4.87278000E+14
763.46,4.87254000E+14
763.47,4.87150000E+14
763.48,4.86850000E+14
763.49,4.86242000E+14
763.50,4.85380000E+14
763.51,4.84535000E+14
763.52,4.83919000E+14
763.53,4.83382000E+14
763.54,4.82593000E+14
763.55,4.81561000E+14
763.56,4.80760000E+14
763.57,4.80582000E+14
763.58,4.80812000E+14
763.59,4.80919000E+14
763.60,4.80827000E+14
763.61,4.81084000E+14
763.62,4.82144000E+14
763.63,4.83718000E+14
763.64,4.85099000E+14
763.65,4.85898000E+14
763.66,4.86218000E+14
763.67,4.86323000E+14
763.68,4.86382000E+14
763.69,4.86448000E+14
763.70,4.86525000E+14
763.71,4.86607000E+14
