wavelength_nm,reference_radiance_photons_cm2_s_sr_nm
761.4500,1.14280000e+12
761.4600,1.45120000e+12
761.4700,1.65810000e+12
761.4800,1.66590000e+12
761.4900,1.50360000e+12
761.5000,1.16930000e+12
761.5100,7.61520000e+11
761.5200,4.50750000e+11
761.5300,3.75690000e+11
761.5400,5.82680000e+11
761.5500,1.02100000e+12
761.5600,1.51800000e+12
761.5700,2.00790000e+12
761.5800,2.44000000e+12
761.5900,2.69130000e+12
761.6000,2.83950000e+12
761.6100,2.96770000e+12
761.6200,3.02580000e+12
761.6300,3.08760000e+12
761.6400,3.11840000e+12
761.6500,3.00710000e+12
761.6600,2.77280000e+12
761.6700,2.39460000e+12
761.6800,1.88620000e+12
761.6900,1.31020000e+12
761.7000,7.74040000e+11
761.7100,4.51340000e+11
761.7200,4.48890000e+11
761.7300,7.63600000e+11
761.7400,1.26820000e+12
761.7500,1.77940000e+12
761.7600,2.22160000e+12
761.7700,2.48180000e+12
761.7800,2.50990000e+12
761.7900,2.27860000e+12
761.8000,1.75720000e+12
761.8100,1.15410000e+12
761.8200,7.78130000e+11
761.8300,8.63290000e+11
761.8400,1.39460000e+12
761.8500,2.12790000e+12
761.8600,2.77420000e+12
761.8700,3.15250000e+12
761.8800,3.27360000e+12
761.8900,3.24820000e+12
761.9000,3.19120000e+12
761.9100,3.19470000e+12
761.9200,3.30100000e+12
761.9300,3.49140000e+12
761.9400,3.70800000e+12
761.9500,3.89380000e+12
761.9600,4.02110000e+12
761.9700,4.09090000e+12
761.9800,4.11750000e+12
761.9900,4.11840000e+12
762.0000,4.11080000e+12
762.0100,4.10820000e+12
762.0200,4.11750000e+12
762.0300,4.13690000e+12
762.0400,4.15930000e+12
762.0500,4.17730000e+12
762.0600,4.18600000e+12
762.0700,4.18110000e+12
762.0800,4.15420000e+12
762.0900,4.09140000e+12
762.1000,3.98360000e+12
762.1100,3.84400000e+12
762.1200,3.71430000e+12
762.1300,3.64530000e+12
762.1400,3.66250000e+12
762.1500,3.73520000e+12
762.1600,3.74240000e+12
762.1700,3.73410000e+12
762.1800,3.75650000e+12
762.1900,3.74260000e+12
762.2000,3.70180000e+12
762.2100,3.65660000e+12
762.2200,3.51950000e+12
762.2300,3.33720000e+12
762.2400,3.17800000e+12
762.2500,2.92190000e+12
762.2600,2.55040000e+12
762.2700,2.07480000e+12
762.2800,1.51120000e+12
762.2900,9.53280000e+11
762.3000,5.44500000e+11
762.3100,4.27430000e+11
762.3200,6.18520000e+11
762.3300,1.05950000e+12
762.3400,1.67650000e+12
762.3500,2.28430000e+12
762.3600,2.78410000e+12
762.3700,3.06770000e+12
762.3800,3.17080000e+12
762.3900,3.24240000e+12
762.4000,3.30700000e+12
762.4100,3.44470000e+12
762.4200,3.56800000e+12
762.4300,3.59740000e+12
762.4400,3.55320000e+12
762.4500,3.45720000e+12
762.4600,3.33840000e+12
762.4700,3.16480000e+12
762.4800,2.91510000e+12
762.4900,2.50180000e+12
762.5000,1.93590000e+12
762.5100,1.33320000e+12
762.5200,7.78670000e+11
762.5300,4.38210000e+11
762.5400,3.67510000e+11
762.5500,5.19770000e+11
762.5600,8.94370000e+11
762.5700,1.35440000e+12
762.5800,1.77380000e+12
762.5900,2.05460000e+12
762.6000,2.10490000e+12
762.6100,1.92530000e+12
762.6200,1.55770000e+12
762.6300,1.10960000e+12
762.6400,6.79660000e+11
762.6500,3.81590000e+11
762.6600,2.81970000e+11
762.6700,3.83390000e+11
762.6800,7.13900000e+11
762.6900,1.19570000e+12
762.7000,1.73360000e+12
762.7100,2.25110000e+12
762.7200,2.59940000e+12
762.7300,2.71610000e+12
762.7400,2.80050000e+12
762.7500,2.89970000e+12
762.7600,3.04690000e+12
762.7700,3.27680000e+12
762.7800,3.41850000e+12
762.7900,3.46210000e+12
762.8000,3.42830000e+12
762.8100,3.33450000e+12
762.8200,3.23480000e+12
762.8300,3.10180000e+12
762.8400,2.85410000e+12
762.8500,2.52780000e+12
762.8600,2.17190000e+12
762.8700,1.73220000e+12
762.8800,1.30450000e+12
762.8900,9.22310000e+11
762.9000,5.37460000e+11
762.9100,3.19020000e+11
762.9200,3.11010000e+11
762.9300,5.06170000e+11
762.9400,8.55090000e+11
762.9500,1.23440000e+12
762.9600,1.54050000e+12
762.9700,1.67900000e+12
762.9800,1.60230000e+12
762.9900,1.34810000e+12
763.0000,9.99250000e+11
763.0100,6.41520000e+11
763.0200,3.68590000e+11
763.0300,2.53420000e+11
763.0400,3.13850000e+11
763.0500,5.59730000e+11
763.0600,9.59990000e+11
763.0700,1.43730000e+12
763.0800,1.92030000e+12
763.0900,2.32270000e+12
763.1000,2.50470000e+12
763.1100,2.57960000e+12
763.1200,2.69410000e+12
763.1300,2.84400000e+12
763.1400,3.08910000e+12
763.1500,3.32710000e+12
763.1600,3.43040000e+12
763.1700,3.45110000e+12
763.1800,3.43610000e+12
763.1900,3.36400000e+12
763.2000,3.26820000e+12
763.2100,3.10550000e+12
763.2200,2.82740000e+12
763.2300,2.66000000e+12
763.2400,2.49400000e+12
763.2500,2.29220000e+12
763.2600,2.08200000e+12
763.2700,1.66510000e+12
763.2800,1.17240000e+12
763.2900,7.21690000e+11
763.3000,4.03480000e+11
763.3100,2.82310000e+11
763.3200,3.52640000e+11
763.3300,5.97060000e+11
763.3400,9.40060000e+11
763.3500,1.26680000e+12
763.3600,1.48780000e+12
763.3700,1.52950000e+12
763.3800,1.37850000e+12
763.3900,1.09270000e+12
763.4000,7.56300000e+11
763.4100,4.53920000e+11
763.4200,2.81500000e+11
763.4300,2.71540000e+11
763.4400,4.31900000e+11
763.4500,7.63960000e+11
763.4600,1.20190000e+12
763.4700,1.68010000e+12
763.4800,2.13120000e+12
763.4900,2.42730000e+12
763.5000,2.52410000e+12
763.5100,2.63160000e+12
763.5200,2.77890000e+12
763.5300,2.98410000e+12
763.5400,3.26900000e+12
763.5500,3.43900000e+12
763.5600,3.50160000e+12
763.5700,3.52780000e+12
763.5800,3.53450000e+12
763.5900,3.50340000e+12
763.6000,3.37470000e+12
763.6100,3.11800000e+12
763.6200,2.94980000e+12
763.6300,2.88260000e+12
763.6400,2.87850000e+12
