1.0E-46      ! scale_factor sigma in cm**5/molecule**2
0           ! header lines
378         ! data lines, nlam
# O2-O2 CIA subset extracted from vendor/disamar-fortran/RefSpec/O2O2T_BIRA.dat
# Wavelength    a0            a1          a2
  768.8437274   1.11E+00    0.00E+00    0.00E+00
  768.8722264   1.10E+00    0.00E+00    0.00E+00
  768.9007275   1.09E+00    0.00E+00    0.00E+00
  768.9292307   1.08E+00    0.00E+00    0.00E+00
  768.9577360   1.07E+00    0.00E+00    0.00E+00
  768.9862493   1.06E+00    0.00E+00    0.00E+00
  769.0147589   1.04E+00    0.00E+00    0.00E+00
  769.0432706   1.03E+00    0.00E+00    0.00E+00
  769.0717843   1.02E+00    0.00E+00    0.00E+00
  769.1003002   1.01E+00    0.00E+00    0.00E+00
  769.1288242   1.00E+00    0.00E+00    0.00E+00
  769.1573443   9.92E-01    0.00E+00    0.00E+00
  769.1858665   9.82E-01    0.00E+00    0.00E+00
  769.2143909   9.72E-01    0.00E+00    0.00E+00
  769.2429174   9.62E-01    0.00E+00    0.00E+00
  769.2714459   9.53E-01    0.00E+00    0.00E+00
  769.2999826   9.43E-01    0.00E+00    0.00E+00
  769.3285154   9.34E-01    0.00E+00    0.00E+00
  769.3570503   9.25E-01    0.00E+00    0.00E+00
  769.3855874   9.16E-01    0.00E+00    0.00E+00
  769.4141265   9.07E-01    0.00E+00    0.00E+00
  769.4426678   8.99E-01    0.00E+00    0.00E+00
  769.4712171   8.90E-01    0.00E+00    0.00E+00
  769.4997627   8.81E-01    0.00E+00    0.00E+00
  769.5283103   8.73E-01    0.00E+00    0.00E+00
  769.5568601   8.65E-01    0.00E+00    0.00E+00
  769.5854119   8.57E-01    0.00E+00    0.00E+00
  769.6139659   8.48E-01    0.00E+00    0.00E+00
  769.6425221   8.40E-01    0.00E+00    0.00E+00
  769.6710862   8.33E-01    0.00E+00    0.00E+00
  769.6996466   8.25E-01    0.00E+00    0.00E+00
  769.7282090   8.17E-01    0.00E+00    0.00E+00
  769.7567736   8.09E-01    0.00E+00    0.00E+00
  769.7853404   8.02E-01    0.00E+00    0.00E+00
  769.8139092   7.94E-01    0.00E+00    0.00E+00
  769.8424861   7.87E-01    0.00E+00    0.00E+00
  769.8710591   7.79E-01    0.00E+00    0.00E+00
  769.8996343   7.72E-01    0.00E+00    0.00E+00
  769.9282117   7.65E-01    0.00E+00    0.00E+00
  769.9567911   7.57E-01    0.00E+00    0.00E+00
  769.9853786   7.50E-01    0.00E+00    0.00E+00
  770.0139623   7.43E-01    0.00E+00    0.00E+00
  770.0425481   7.36E-01    0.00E+00    0.00E+00
  770.0711360   7.29E-01    0.00E+00    0.00E+00
  770.0997261   7.22E-01    0.00E+00    0.00E+00
  770.1283182   7.15E-01    0.00E+00    0.00E+00
