wavelength_nm,irradiance
757.73,4.87653000E+14
757.74,4.86347000E+14
757.75,4.85608000E+14
757.76,4.85989000E+14
757.77,4.87167000E+14
757.78,4.88448000E+14
757.79,4.89429000E+14
757.80,4.90063000E+14
757.81,4.90423000E+14
757.82,4.90584000E+14
757.83,4.90610000E+14
757.84,4.90563000E+14
757.85,4.90489000E+14
757.86,4.90417000E+14
757.87,4.90344000E+14
757.88,4.90245000E+14
757.89,4.90117000E+14
757.90,4.89995000E+14
757.91,4.89884000E+14
757.92,4.89721000E+14
757.93,4.89512000E+14
757.94,4.89380000E+14
757.95,4.89386000E+14
757.96,4.89430000E+14
757.97,4.89434000E+14
757.98,4.89476000E+14
757.99,4.89647000E+14
758.00,4.89883000E+14
758.01,4.90013000E+14
758.02,4.89894000E+14
758.03,4.89410000E+14
758.04,4.88486000E+14
758.05,4.87166000E+14
758.06,4.85561000E+14
758.07,4.83816000E+14
758.08,4.82374000E+14
758.09,4.81999000E+14
758.10,4.83031000E+14
758.11,4.84878000E+14
758.12,4.86590000E+14
758.13,4.87719000E+14
758.14,4.88393000E+14
758.15,4.88849000E+14
758.16,4.89134000E+14
758.17,4.89230000E+14
758.18,4.89196000E+14
758.19,4.89125000E+14
758.20,4.89045000E+14
758.21,4.88914000E+14
758.22,4.88702000E+14
758.23,4.88474000E+14
758.24,4.88356000E+14
758.25,4.88379000E+14
758.26,4.88496000E+14
758.27,4.88717000E+14
758.28,4.89082000E+14
758.29,4.89502000E+14
758.30,4.89793000E+14
758.31,4.89848000E+14
758.32,4.89665000E+14
758.33,4.89285000E+14
758.34,4.88755000E+14
758.35,4.88106000E+14
758.36,4.87345000E+14
758.37,4.86488000E+14
758.38,4.85444000E+14
758.39,4.83731000E+14
758.40,4.80848000E+14
758.41,4.77541000E+14
758.42,4.76015000E+14
758.43,4.77715000E+14
758.44,4.81501000E+14
758.45,4.85074000E+14
758.46,4.87352000E+14
758.47,4.88601000E+14
758.48,4.89207000E+14
758.49,4.89207000E+14
758.50,4.88616000E+14
758.51,4.87767000E+14
758.52,4.87189000E+14
758.53,4.86880000E+14
758.54,4.85337000E+14
758.55,4.78895000E+14
758.56,4.62753000E+14
758.57,4.36177000E+14
758.58,4.09218000E+14
758.59,3.99029000E+14
758.60,4.13198000E+14
758.61,4.40924000E+14
758.62,4.65399000E+14
758.63,4.79226000E+14
758.64,4.84918000E+14
758.65,4.87029000E+14
758.66,4.87877000E+14
758.67,4.88088000E+14
758.68,4.87985000E+14
758.69,4.87906000E+14
758.70,4.87955000E+14
758.71,4.87969000E+14
758.72,4.87758000E+14
758.73,4.87223000E+14
758.74,4.86203000E+14
758.75,4.84150000E+14
758.76,4.79571000E+14
758.77,4.69286000E+14
758.78,4.48850000E+14
758.79,4.16891000E+14
758.80,3.82197000E+14
758.81,3.63043000E+14
758.82,3.72158000E+14
758.83,4.03185000E+14
758.84,4.37606000E+14
758.85,4.62188000E+14
758.86,4.75262000E+14
758.87,4.80996000E+14
758.88,4.83443000E+14
758.89,4.84839000E+14
758.90,4.85984000E+14
758.91,4.86964000E+14
758.92,4.87689000E+14
758.93,4.88116000E+14
758.94,4.88266000E+14
758.95,4.88215000E+14
758.96,4.88089000E+14
758.97,4.87979000E+14
758.98,4.87783000E+14
758.99,4.87047000E+14
759.00,4.84798000E+14
759.01,4.79656000E+14
759.02,4.71141000E+14
759.03,4.61931000E+14
759.04,4.57453000E+14
759.05,4.60796000E+14
759.06,4.68882000E+14
759.07,4.75676000E+14
759.08,4.78217000E+14
759.09,4.78268000E+14
759.10,4.79114000E+14
759.11,4.81902000E+14
759.12,4.85291000E+14
759.13,4.87712000E+14
759.14,4.88810000E+14
759.15,4.89042000E+14
759.16,4.88924000E+14
759.17,4.88768000E+14
759.18,4.88683000E+14
759.19,4.88653000E+14
759.20,4.88678000E+14
759.21,4.88782000E+14
759.22,4.88885000E+14
759.23,4.88788000E+14
759.24,4.88334000E+14
759.25,4.87573000E+14
759.26,4.86769000E+14
759.27,4.86269000E+14
759.28,4.86319000E+14
759.29,4.86891000E+14
759.30,4.87635000E+14
759.31,4.88082000E+14
759.32,4.88010000E+14
759.33,4.87621000E+14
759.34,4.87330000E+14
759.35,4.87306000E+14
759.36,4.87250000E+14
759.37,4.86773000E+14
759.38,4.85966000E+14
759.39,4.85404000E+14
759.40,4.85563000E+14
759.41,4.86371000E+14
759.42,4.87345000E+14
759.43,4.88007000E+14
759.44,4.88185000E+14
759.45,4.88052000E+14
759.46,4.87902000E+14
759.47,4.87866000E+14
759.48,4.87926000E+14
759.49,4.88094000E+14
759.50,4.88375000E+14
759.51,4.88646000E+14
759.52,4.88738000E+14
759.53,4.88593000E+14
759.54,4.88239000E+14
759.55,4.87621000E+14
759.56,4.86608000E+14
759.57,4.85307000E+14
759.58,4.84262000E+14
759.59,4.84025000E+14
759.60,4.84509000E+14
759.61,4.85020000E+14
759.62,4.85042000E+14
759.63,4.84776000E+14
759.64,4.84783000E+14
759.65,4.85264000E+14
759.66,4.85845000E+14
759.67,4.85997000E+14
759.68,4.85582000E+14
759.69,4.84887000E+14
759.70,4.84036000E+14
759.71,4.82618000E+14
759.72,4.80412000E+14
759.73,4.78396000E+14
759.74,4.78204000E+14
759.75,4.80343000E+14
759.76,4.83606000E+14
759.77,4.86384000E+14
759.78,4.87987000E+14
759.79,4.88649000E+14
759.80,4.88848000E+14
759.81,4.88891000E+14
759.82,4.88891000E+14
759.83,4.88858000E+14
759.84,4.88754000E+14
759.85,4.88500000E+14
759.86,4.88027000E+14
759.87,4.87359000E+14
759.88,4.86683000E+14
759.89,4.86273000E+14
759.90,4.86247000E+14
759.91,4.86367000E+14
759.92,4.86155000E+14
759.93,4.85297000E+14
759.94,4.83965000E+14
759.95,4.82749000E+14
759.96,4.82277000E+14
759.97,4.82813000E+14
759.98,4.84130000E+14
759.99,4.85702000E+14
760.00,4.87022000E+14
760.01,4.87820000E+14
760.02,4.88111000E+14
760.03,4.88071000E+14
760.04,4.87882000E+14
760.05,4.87649000E+14
760.06,4.87413000E+14
760.07,4.87179000E+14
760.08,4.86946000E+14
760.09,4.86712000E+14
760.10,4.86473000E+14
760.11,4.86228000E+14
760.12,4.85976000E+14
760.13,4.85723000E+14
760.14,4.85476000E+14
760.15,4.85236000E+14
760.16,4.84998000E+14
760.17,4.84748000E+14
760.18,4.84433000E+14
760.19,4.83899000E+14
760.20,4.82855000E+14
